Domain,Count
nic.ru,9
speedtest.net,9
sohu.com,9
cnn.com,9
forbes.com,9
buzzfeed.com,9
otto.de,9
gandi.net,9
ancestry.com,9
surveymonkey.com,8
hbr.org,8
bilibili.com,8
autodesk.com,8
healthline.com,8
pccc.com,8
robinhood.com,8
herokuapp.com,8
okta.com,8
viber.com,8
myshopify.com,8
docker.com,8
ozon.ru,8
gnu.org,8
telegram.org,8
google.ca,8
duolingo.com,8
gosuslugi.ru,8
google.co.in,8
visa.com,8
archive.org,8
pbs.org,8
zoho.com,8
pexels.com,8
xnxx.com,8
arxiv.org,8
tokopedia.com,8
xerox.com,8
reuters.com,8
firefox.com,8
instructure.com,8
kargo.com,8
adrta.com,8
wiley.com,8
weibo.com,8
steampowered.com,8
daum.net,8
zoom.us,8
hilton.com,8
amazon.com,8
arcgis.com,7
wixsite.com,7
norton.com,7
ntp.org,7
apnews.com,7
bild.de,7
gvt1.com,7
ya.ru,7
tds.net,7
nvidia.com,7
qualtrics.com,7
uol.com.br,7
wattpad.com,7
t-mobile.com,7
imdb.com,7
ivi.ru,7
sonobi.com,7
brave.com,7
character.ai,7
vmware.com,7
macys.com,7
dailymotion.com,7
kwai.net,7
tripadvisor.com,7
un.org,7
github.com,7
gihc.net,7
stripe.com,7
liadm.com,7
wsj.com,7
apple.com,7
pixiv.net,7
interia.pl,7
att.net,7
agoda.com,7
oup.com,7
allegro.pl,7
giphy.com,7
wix.com,7
redhat.com,7
theatlantic.com,7
weebly.com,7
npr.org,7
time.com,7
myspace.com,6
huawei.com,6
googletagmanager.com,6
digicert.com,6
ubi.com,6
netflix.net,6
calendly.com,6
one.one,6
imgur.com,6
freepik.com,6
a2z.com,6
bol.com,6
tumblr.com,6
mediatek.com,6
hotjar.com,6
braze.com,6
ys7.com,6
genius.com,6
mncdn.com,6
britannica.com,6
miwifi.com,6
google.pl,6
w3schools.com,6
blogger.com,6
iso.org,6
ubuntu.com,6
ebay.co.uk,6
dailymail.co.uk,6
upwork.com,6
myqcloud.com,6
oracle.com,6
rackspace.com,6
dell.com,6
php.net,6
yahoo.net,6
life360.com,6
pusher.com,6
twimg.com,6
splashtop.com,6
ioam.de,6
ebay.de,6
cambridge.org,6
investopedia.com,6
jotform.com,5
swrve.com,5
bluehost.com,5
bitdefender.com,5
dns-shop.ru,5
businesswire.com,5
change.org,5
mob.com,5
accuweather.com,5
innovid.com,5
quizlet.com,5
economist.com,5
licdn.com,5
weforum.org,5
ign.com,5
synology.com,5
mts.ru,5
live.net,5
atlassian.net,5
seznam.cz,5
free.fr,5
mediavine.com,5
aliyun.com,5
google.com,5
jquery.com,5
slideshare.net,5
xiaomi.com,5
google.co.uk,5
microsoftonline.com,5
wbx2.com,5
ui.com,5
cnet.com,5
unsplash.com,5
telegram.me,5
ted.com,5
dotomi.com,5
sophos.com,5
t.co,5
zemanta.com,5
hicloud.com,5
europa.eu,5
bbc.com,5
taboola.com,5
macromedia.com,5
gstatic.com,5
doi.org,5
mozilla.com,5
washingtonpost.com,5
shifen.com,5
amazon.ca,4
adroll.com,4
cpanel.net,4
news.com.au,4
scdn.co,4
hulu.com,4
ggpht.com,4
redd.it,4
rambler.ru,4
discordapp.com,4
mckinsey.com,4
mega.nz,4
1c.ru,4
hichina.com,4
sciencedirect.com,4
rzone.de,4
elpais.com,4
adnxs.com,4
facebook.net,4
trustpilot.com,4
ups.com,4
e2ro.com,4
dns.com,4
discogs.com,4
lemonde.fr,4
twitch.tv,4
vungle.com,4
att.com,4
rfihub.com,4
trendmicro.com,4
pendo.io,4
online.net,4
example.com,4
t-online.de,4
telekom.de,4
opendns.com,4
checkpoint.com,4
dreamhost.com,4
biblegateway.com,4
360.cn,4
google.de,4
unesco.org,4
rbc.ru,4
unpkg.com,4
vivoglobal.com,4
gumgum.com,4
klaviyo.com,4
adjust.com,4
cloudflare.com,4
livejournal.com,4
ytimg.com,4
constantcontact.com,4
scribd.com,4
adgrx.com,4
aol.com,4
flurry.com,4
mysql.com,4
techcrunch.com,4
nba.com,4
inmobi.com,4
psychologytoday.com,4
behance.net,4
netease.com,4
ok.ru,4
163.com,4
sina.com.cn,4
aws.dev,4
utorrent.com,4
atlassian.com,4
mailchimp.com,4
gamepass.com,4
box.com,4
bidr.io,4
fastly.net,3
mwbsys.com,3
googleapis.com,3
pubmatic.com,3
split.io,3
msidentity.com,3
kickstarter.com,3
digitalocean.com,3
youku.com,3
bbc.co.uk,3
ibm.com,3
dns.cn,3
issuu.com,3
amazon.in,3
conviva.com,3
steamcommunity.com,3
cdn20.com,3
google.it,3
nypost.com,3
google.fr,3
entrust.net,3
independent.co.uk,3
go.com,3
wikihow.com,3
service-now.com,3
intentiq.com,3
fb.com,3
hp.com,3
tiktokv.com,3
huffpost.com,3
mcafee.com,3
atomile.com,3
nginx.com,3
rt.ru,3
mixpanel.com,3
bandcamp.com,3
rayjump.com,3
fontawesome.com,3
sharethis.com,3
cbc.ca,3
yieldmo.com,3
usatoday.com,3
prnewswire.com,3
sberdevices.ru,3
huffingtonpost.com,3
immunet.com,3
thesun.co.uk,3
amazon.fr,3
qq.com,3
vk.com,3
sentry.io,3
telegraph.co.uk,3
akismet.com,3
onesignal.com,3
elmundo.es,3
ecdns.net,3
googlesyndication.com,3
wp.pl,3
mayoclinic.org,3
msn.com,3
ft.com,3
target.com,3
amazon.de,3
pangle.io,3
chinamobile.com,3
statista.com,3
github.io,3
researchgate.net,2
google.cn,2
gravatar.com,2
shopee.com.br,2
unity3d.com,2
tiktokcdn.com,2
w3.org,2
wsdvs.com,2
goo.gl,2
classlink.com,2
google-analytics.com,2
demdex.net,2
domaincontrol.com,2
rapid7.com,2
ad.gt,2
ohthree.com,2
supercell.com,2
360safe.com,2
office365.com,2
ertelecom.ru,2
apache.org,2
vkontakte.ru,2
deloitte.com,2
sportskeeda.com,2
youtu.be,2
sourceforge.net,2
yandex.net,2
typeform.com,2
gvt2.com,2
attn.tv,2
lenovo.com,2
adform.net,2
ezvizlife.com,2
appspot.com,2
warnerbros.com,2
theverge.com,2
visualstudio.com,2
1rx.io,2
bitrix24.ru,2
me.com,2
businessinsider.com,2
sitescout.com,2
verisign.com,2
mikrotik.com,2
merriam-webster.com,2
imrworldwide.com,2
adriver.ru,2
adobe.net,2
duckdns.org,2
bamgrid.com,2
homedepot.com,2
cloudns.net,2
rlcdn.com,2
beeline.ru,2
lefigaro.fr,2
tp-link.com,2
amazon.it,2
sagepub.com,2
hubspot.com,2
33across.com,2
openx.net,2
nease.net,2
optimizely.com,2
wikimedia.org,2
sc-gw.com,2
nationalgeographic.com,2
ipredictive.com,2
wp.com,2
3lift.com,2
newrelic.com,2
bluekai.com,2
rackspace.net,2
disqus.com,2
bit.ly,1
cdn77.org,1
googledomains.com,1
nstld.com,1
mega.co.nz,1
arubanetworks.com,1
va.gov,1
timeweb.ru,1
ip-api.com,1
mozilla.org,1
avcdn.net,1
sentinelone.net,1
statuspage.io,1
doubleclick.net,1
google.es,1
googlevideo.com,1
root-servers.net,1
sapo.pt,1
worldnic.com,1
fbcdn.net,1
tandfonline.com,1
si.com,1
shutterstock.com,1
consultant.ru,1
hugedomains.com,1
debian.org,1
wal-mart.com,1
4dex.io,1
googleusercontent.com,1
deepintent.com,1
wordpress.org,1
gtld-servers.net,1
grabpay.com,1
adtelligent.com,1
amplitude.com,1
online-metrix.net,1
alicdn.com,1
ampproject.org,1
stbid.ru,1
aniview.com,1
mangosip.ru,1
mzstatic.com,1
cdn-apple.com,1
bloomberg.com,1
sharethrough.com,1
samsungcloud.com,1
dnsmadeeasy.com,1
rncdn7.com,1
notion.so,1
launchpad.net,1
rocket-cdn.com,1
worldbank.org,1
riotgames.com,1
hm.com,1
mozilla.net,1
amazon.co.uk,1
fb.me,1
msftconnecttest.com,1
userapi.com,1
markmonitor.com,1
telecid.ru,1
1drv.com,1
spbycdn.com,1
connatix.com,1
moatads.com,1
linktr.ee,1
google.com.tr,1
xiaomi.net,1
t.me,1
dbankcloud.com,1
my.com,1
flashtalking.com,1
creativecdn.com,1
aliyuncs.com,1
teads.tv,1
rbxcdn.com,1
segment.io,1
mi.com,1
discord.gg,1
casalemedia.com,1
google.com.mx,1
outbrain.com,1
appsflyer.com,1
ssacdn.com,1
amazon.com.br,1
heylink.me,1
springserve.com,1
globalsign.com,1
repubblica.it,1
branch.io,1
criteo.net,1
oath.cloud,1
